FID	IID	PHENO
outcome_fid_1	outcome_iid_1	-0.3697779834626217
outcome_fid_2	outcome_iid_2	-0.9241300082996949
outcome_fid_3	outcome_iid_3	0.4388168598529549
outcome_fid_4	outcome_iid_4	-1.0177109011216443
outcome_fid_5	outcome_iid_5	1.243440294108218
outcome_fid_6	outcome_iid_6	-1.8297573969284149
outcome_fid_7	outcome_iid_7	-0.6455073590777476
outcome_fid_8	outcome_iid_8	-0.4743159526383601
outcome_fid_9	outcome_iid_9	-0.5989598015244847
outcome_fid_10	outcome_iid_10	0.8264341509983218
outcome_fid_11	outcome_iid_11	-0.48184432446912695
outcome_fid_12	outcome_iid_12	0.6700267484929306
outcome_fid_13	outcome_iid_13	1.00614180269131
outcome_fid_14	outcome_iid_14	0.6553140292836483
outcome_fid_15	outcome_iid_15	-0.4344113303574193
outcome_fid_16	outcome_iid_16	0.15373658010669247
outcome_fid_17	outcome_iid_17	1.4783348286015479
outcome_fid_18	outcome_iid_18	0.39623647711197674
outcome_fid_19	outcome_iid_19	0.4678369377904402
outcome_fid_20	outcome_iid_20	1.5365385854023563
outcome_fid_21	outcome_iid_21	-0.9129268376891189
outcome_fid_22	outcome_iid_22	-0.7169049603123787
outcome_fid_23	outcome_iid_23	0.2801923760895268
outcome_fid_24	outcome_iid_24	-0.3345896083468357
outcome_fid_25	outcome_iid_25	-1.2415954412553198
outcome_fid_26	outcome_iid_26	0.021532489441770754
outcome_fid_27	outcome_iid_27	0.9582246553201342
outcome_fid_28	outcome_iid_28	-1.50272432254854
outcome_fid_29	outcome_iid_29	0.3672950791704048
outcome_fid_30	outcome_iid_30	-2.0465880993474994
outcome_fid_31	outcome_iid_31	-0.23765588188945436
outcome_fid_32	outcome_iid_32	-0.7243152922030496
outcome_fid_33	outcome_iid_33	1.6215909683387566
outcome_fid_34	outcome_iid_34	0.8817724236713046
outcome_fid_35	outcome_iid_35	-0.485498473848352
outcome_fid_36	outcome_iid_36	1.1824414448190774
outcome_fid_37	outcome_iid_37	-2.6553953497932112
outcome_fid_38	outcome_iid_38	-0.8452359546142557
outcome_fid_39	outcome_iid_39	0.10185908237328774
outcome_fid_40	outcome_iid_40	0.4733648518931791
outcome_fid_41	outcome_iid_41	1.2927535804151984
outcome_fid_42	outcome_iid_42	-1.559613425448159
outcome_fid_43	outcome_iid_43	-1.3297596032250933
outcome_fid_44	outcome_iid_44	1.385531987752861
outcome_fid_45	outcome_iid_45	0.7947303652803314
outcome_fid_46	outcome_iid_46	1.756709135474499
outcome_fid_47	outcome_iid_47	-1.782919953157822
outcome_fid_48	outcome_iid_48	1.321159252458485
outcome_fid_49	outcome_iid_49	1.7853070680629957
outcome_fid_50	outcome_iid_50	-1.2037335217757164
outcome_fid_51	outcome_iid_51	-0.04932591521075049
outcome_fid_52	outcome_iid_52	-0.93134766685306
outcome_fid_53	outcome_iid_53	-0.12487512177089548
outcome_fid_54	outcome_iid_54	0.12508413815564992
outcome_fid_55	outcome_iid_55	-0.743190124567784
outcome_fid_56	outcome_iid_56	0.9855475883878815
outcome_fid_57	outcome_iid_57	-0.7719878378242744
outcome_fid_58	outcome_iid_58	-1.4043095734173183
outcome_fid_59	outcome_iid_59	0.542553437168671
outcome_fid_60	outcome_iid_60	-1.68185047839352
outcome_fid_61	outcome_iid_61	-2.0452948801315096
outcome_fid_62	outcome_iid_62	0.18062505415878713
outcome_fid_63	outcome_iid_63	0.12927983802314516
outcome_fid_64	outcome_iid_64	0.17006819621175573
outcome_fid_65	outcome_iid_65	-1.604661610069075
outcome_fid_66	outcome_iid_66	-0.9643390598015323
outcome_fid_67	outcome_iid_67	-0.5476317184148063
outcome_fid_68	outcome_iid_68	-1.7135177230303784
outcome_fid_69	outcome_iid_69	-1.4798249720550565
outcome_fid_70	outcome_iid_70	-0.06428858991175343
outcome_fid_71	outcome_iid_71	-0.9604740376512817
outcome_fid_72	outcome_iid_72	1.1138025564661234
outcome_fid_73	outcome_iid_73	-0.39509524483235886
outcome_fid_74	outcome_iid_74	0.8223282799852326
outcome_fid_75	outcome_iid_75	0.8465706761330231
outcome_fid_76	outcome_iid_76	-0.25223904706769273
outcome_fid_77	outcome_iid_77	-0.4646711306653124
outcome_fid_78	outcome_iid_78	0.8506488219356259
outcome_fid_79	outcome_iid_79	-1.0874652538371683
outcome_fid_80	outcome_iid_80	0.9823044802335629
outcome_fid_81	outcome_iid_81	1.437146790869866
outcome_fid_82	outcome_iid_82	-0.20747688334371345
outcome_fid_83	outcome_iid_83	0.978239814837752
outcome_fid_84	outcome_iid_84	-0.19870451757618227
outcome_fid_85	outcome_iid_85	-0.16752135681567612
outcome_fid_86	outcome_iid_86	-0.38452599698621365
outcome_fid_87	outcome_iid_87	-0.604663694301371
outcome_fid_88	outcome_iid_88	-1.2480150438880186
outcome_fid_89	outcome_iid_89	0.1591584857225687
outcome_fid_90	outcome_iid_90	-1.4172898701830352
outcome_fid_91	outcome_iid_91	-0.6979319406767691
outcome_fid_92	outcome_iid_92	-1.5071968719591269
outcome_fid_93	outcome_iid_93	0.7540252066239534
outcome_fid_94	outcome_iid_94	0.13940050204634902
outcome_fid_95	outcome_iid_95	1.777207472441485
outcome_fid_96	outcome_iid_96	0.08674082746672307
outcome_fid_97	outcome_iid_97	1.5679749021988807
outcome_fid_98	outcome_iid_98	-0.7522762048932672
outcome_fid_99	outcome_iid_99	-0.8395814812661898
outcome_fid_100	outcome_iid_100	1.1152954841313978
outcome_fid_101	outcome_iid_101	-0.70057289051803
outcome_fid_102	outcome_iid_102	0.2762197083243154
outcome_fid_103	outcome_iid_103	-0.042793452044455435
outcome_fid_104	outcome_iid_104	0.03352191860586304
outcome_fid_105	outcome_iid_105	0.10846229986543966
outcome_fid_106	outcome_iid_106	-0.36746408965100963
outcome_fid_107	outcome_iid_107	2.739943045380342
outcome_fid_108	outcome_iid_108	-0.9082943311683938
outcome_fid_109	outcome_iid_109	-0.1883749451721912
outcome_fid_110	outcome_iid_110	1.7843574364007573
outcome_fid_111	outcome_iid_111	0.14017635793882322
outcome_fid_112	outcome_iid_112	1.5126125579482446
outcome_fid_113	outcome_iid_113	-1.1787560593907247
outcome_fid_114	outcome_iid_114	1.6148199706303599
outcome_fid_115	outcome_iid_115	0.22230462120230748
outcome_fid_116	outcome_iid_116	0.28783060476974254
outcome_fid_117	outcome_iid_117	-1.421620461559964
outcome_fid_118	outcome_iid_118	1.063775267602572
outcome_fid_119	outcome_iid_119	-0.28293595553885964
outcome_fid_120	outcome_iid_120	0.0007999019416365253
outcome_fid_121	outcome_iid_121	-0.9180726364537541
outcome_fid_122	outcome_iid_122	-0.8269226896879442
outcome_fid_123	outcome_iid_123	-0.6143702281079371
outcome_fid_124	outcome_iid_124	-0.7196906897131048
outcome_fid_125	outcome_iid_125	2.2139322796495944
outcome_fid_126	outcome_iid_126	1.242105151663582
outcome_fid_127	outcome_iid_127	-2.0173349437180246
outcome_fid_128	outcome_iid_128	0.2933469113888852
outcome_fid_129	outcome_iid_129	-0.12131491761190072
outcome_fid_130	outcome_iid_130	-2.2819010629917464
outcome_fid_131	outcome_iid_131	1.4962074478713352
outcome_fid_132	outcome_iid_132	0.45596306329454567
outcome_fid_133	outcome_iid_133	-1.9633130398269512
outcome_fid_134	outcome_iid_134	-0.46934860107661164
outcome_fid_135	outcome_iid_135	-0.7239263491402796
