exposure_name	uncalibrated_p_value	calibrated_p_value
example_gene_1	0.938772277386571	0.5728813170882281
example_gene_2	0.172603011887195	0.0003837824673644896
example_gene_3	0.991589419842166	0.865143198882587
example_gene_4	0.921624428364112	0.5128011347586515
example_gene_5	0.706197694235898	0.13678493254188617
example_gene_6	0.910669848796933	0.478690197249309
example_gene_7	0.727676614679637	0.15688853547705858
example_gene_8	0.970520013246794	0.7167418393712784
example_gene_9	0.967044017029655	0.6979734292085623
example_gene_10	0.989055588522628	0.8420691557214324
example_gene_11	0.918453830983846	0.5026218009398142
example_gene_12	0.974276667714679	0.7382618536467542
example_gene_13	0.985405041192491	0.8124939917979733
example_gene_14	0.738583749759637	0.16804598405860177
example_gene_15	0.846728448952775	0.32468339482235753
example_gene_16	0.98705991877025	0.8254539948296368
example_gene_17	0.978742713098917	0.7658594725751238
example_gene_18	0.890515810371641	0.42281829518787645
example_gene_19	0.989655094817127	0.8473063498371929
example_gene_20	0.980893220651445	0.7800909810146913
example_gene_21	0.926296731588256	0.528293943885971
example_gene_22	0.885411999791582	0.40988615280745266
example_gene_23	0.973095920742142	0.7313466690021506
example_gene_24	0.862941983804518	0.3578736723034216
example_gene_25	0.65158010141036	0.09526877384096637
example_gene_26	0.951834299018137	0.62565895245312
example_gene_27	0.979235992658348	0.7690642027289194
example_gene_28	0.585470750899278	0.05957191278452962
example_gene_29	0.564849095886208	0.05100809896799888
example_gene_30	0.962327101175624	0.6739986866222272
example_gene_31	0.960855923104645	0.6668335258674112
example_gene_32	0.959985855748196	0.6626604769118322
example_gene_33	0.812637368455467	0.26458075877471665
example_gene_34	0.776054021592316	0.21192241757882507
example_gene_35	0.514191663692963	0.03409988670045852
example_gene_36	0.982962280925823	0.7944772450305178
example_gene_37	0.996430812144026	0.9196586010135543
example_gene_38	0.982106819006309	0.7884400592892373
example_gene_39	0.981924848339506	0.7871724649894756
example_gene_40	0.963381758681833	0.6792227888020141
example_gene_41	0.823621473340009	0.28265248729481374
example_gene_42	0.778906265603517	0.2156504807937895
example_gene_43	0.793839276078995	0.23616911693152645
example_gene_44	0.980154409636201	0.775124067835629
example_gene_45	0.871951675243935	0.37782366585582805
example_gene_46	0.98970627299361	0.8477592797591256
example_gene_47	0.838935296018366	0.30985916692330995
example_gene_48	0.543024975721457	0.04305432358116033
example_gene_49	0.904850640872641	0.4617081794578014
example_gene_50	0.549027444269566	0.0451349325777956
example_gene_51	0.986905963506784	0.8242193411238325
example_gene_52	0.846713703406154	0.32465468412263554
example_gene_53	0.695423877026255	0.1275650012233535
example_gene_54	0.982029487495352	0.7879006779346267
example_gene_55	0.995303722658037	0.9051226938585074
example_gene_56	0.540974908332611	0.04236158399893646
example_gene_57	0.941547852711124	0.5835194215196682
example_gene_58	0.999241543978138	0.9686959638950629
example_gene_59	0.99255475851921	0.8746815346190403
example_gene_60	0.994015751358729	0.8901495050236197
example_gene_61	0.594062564137227	0.06346688266092158
example_gene_62	0.980775560093989	0.7792942784920251
example_gene_63	0.820243108472948	0.2769715852145682
example_gene_64	0.93328548077474	0.552654457169693
example_gene_65	0.940886249675936	0.5809576172571146
example_gene_66	0.959327389491814	0.6595331719740203
example_gene_67	0.85802802580701	0.347461276411816
example_gene_68	0.991464047604272	0.8639384787064177
example_gene_69	0.861489539083335	0.35476267192563793
example_gene_70	0.949890637919335	0.6173403781393052
example_gene_71	0.925910443664159	0.5269899335690303
example_gene_72	0.996860371817444	0.9256733835419252
example_gene_73	0.954255072915701	0.6362767649182373
example_gene_74	0.750172601124048	0.18065927070547333
example_gene_75	0.970475712081824	0.7164961045059706
example_gene_76	0.96719488768576	0.6987674339446049
example_gene_77	0.968356386682807	0.7049409933377722
example_gene_78	0.916056940854977	0.49509657100984406
example_gene_79	0.940053464737317	0.577756351993362
example_gene_80	0.450373589142302	0.019474419968685708
example_gene_81	0.789164093635753	0.2295596224308305
example_gene_82	0.764424103746174	0.19731870389704234
example_gene_83	0.954889701588314	0.6391096599453256
example_gene_84	0.962137594069378	0.6730678483037192
example_gene_85	0.942824208127954	0.5885089894666627
example_gene_86	0.928659240322748	0.5363634223657127
example_gene_87	0.954931808641215	0.6392983655705762
example_gene_88	0.968096583453436	0.703550621420205
example_gene_89	0.971855370648443	0.7242337204463523
example_gene_90	0.91947963962041	0.5058866796496944
example_gene_91	0.937585053765754	0.5684166368268689
example_gene_92	0.941457456184804	0.5831684162469014
example_gene_93	0.687057637336834	0.12077605638506358
example_gene_94	0.939564199296676	0.5758875763442003
example_gene_95	0.98491947964614	0.8088136891557116
example_gene_96	0.566598806922785	0.051693628039345206
example_gene_97	0.977131332919729	0.7556195715280571
example_gene_98	0.846244492843337	0.32374243091044524
example_gene_99	0.984426673130952	0.8051307966204121
example_gene_100	0.884144391159833	0.4067431089416515
example_gene_101	0.939683151973131	0.5763411130589654
example_gene_102	0.89781338570077	0.4421202959987136
example_gene_103	0.938607533322224	0.5722587731756046
example_gene_104	0.919638720544773	0.5063954114611816
example_gene_105	0.962403786561786	0.6743760298513377
example_gene_106	0.970827996817033	0.7184551149153835
example_gene_107	0.968149893549957	0.7038354666730852
example_gene_108	0.821177202769352	0.2785311998887186
example_gene_109	0.923449312989227	0.5187806134964082
example_gene_110	0.985754566839937	0.8151761666464253
example_gene_111	0.35562646340412	0.0072875863453068755
example_gene_112	0.94222714319084	0.5861670836828635
example_gene_113	0.919505177409377	0.5059683040564499
example_gene_114	0.308725525109952	0.004072528830612417
example_gene_115	0.55110884240184	0.04587491930634903
example_gene_116	0.981636128828147	0.7851728393323504
example_gene_117	0.986274838707584	0.8192218749130677
example_gene_118	0.362346950346172	0.00787365020190611
example_gene_119	0.922440074425213	0.515462592076615
example_gene_120	0.943183109604372	0.5899234426058215
example_gene_121	0.559075167529054	0.04879763877759945
example_gene_122	0.953834891168929	0.6344126115291223
example_gene_123	0.795454872351295	0.2384938705851446
example_gene_124	0.896589354492132	0.4388132640802192
example_gene_125	0.949891131844055	0.6173424695531534
example_gene_126	0.792395315693012	0.23410916007595964
example_gene_127	0.736550800563289	0.16591521217319555
example_gene_128	0.955485216874315	0.6417872234791862
example_gene_129	0.771414363743637	0.2059830917704561
example_gene_130	0.981817272403533	0.7864257631917323
example_gene_131	0.523545086881649	0.03682400992690148
example_gene_132	0.974285676623952	0.7383151812366269
example_gene_133	0.965937440756007	0.6922035096657018
example_gene_134	0.956923655265479	0.6483336408890255
example_gene_135	0.934184438604319	0.555898834464176
example_gene_136	0.993611677489027	0.8857301550600825
example_gene_137	0.853030049487738	0.33719155012965263
example_gene_138	0.982033821647566	0.7879308810392103
example_gene_139	0.965331974172742	0.6890856197510942
example_gene_140	0.890610968421067	0.42306372517401947
example_gene_141	0.940602398011872	0.5798635703349854
example_gene_142	0.859653356796693	0.35086999142187336
example_gene_143	0.956255232859364	0.645277552303586
example_gene_144	0.098412984279428	4.018065006987591e-05
example_gene_145	0.936080780307464	0.562830729900393
example_gene_146	0.933980549175692	0.5551606689775526
example_gene_147	0.804989663831234	0.2526546904670857
example_gene_148	0.923146679416156	0.5177827499503027
example_gene_149	0.939915422504244	0.5772281999513672
example_gene_150	0.290776382760101	0.003186562854500138
example_gene_151	0.870282995249907	0.3740416911471804
example_gene_152	0.904507617665339	0.4607299375543072
example_gene_153	0.836606744211674	0.30556213959283235
example_gene_154	0.428700916242999	0.015838512392341134
example_gene_155	0.95842549557013	0.6552918000691089
example_gene_156	0.820731214833403	0.27778550167379523
example_gene_157	0.945382884053946	0.5987055496904216
example_gene_158	0.774551883157782	0.20998269833337127
example_gene_159	0.972362060306082	0.7271206233518879
example_gene_160	0.837420369309191	0.30705681868565055
example_gene_161	0.908253526223046	0.47154860687595335
example_gene_162	0.974906466671848	0.742011175631901
example_gene_163	0.941370120617965	0.582829591938157
example_gene_164	0.940933626349326	0.5811405153502511
example_gene_165	0.985762889012048	0.8152403739227669
example_gene_166	0.989929198032924	0.8497433150946533
example_gene_167	0.793064473195689	0.23506170067488696
example_gene_168	0.958353702213495	0.6549562293253708
example_gene_169	0.999728549415068	0.9832750594824913
example_gene_170	0.819753503331249	0.2761574761214314
example_gene_171	0.905169188883854	0.4626188412148343
example_gene_172	0.804360405628205	0.2516963600296017
example_gene_173	0.796116156647481	0.23945154478121905
example_gene_174	0.95205603351667	0.6266194111094116
example_gene_175	0.9130884458186	0.4859714364296125
example_gene_176	0.912479269693611	0.4841247266939778
example_gene_177	0.972235408617726	0.7263966777761506
example_gene_178	0.882725311411646	0.40325610669358936
example_gene_179	0.930758581160509	0.5436737307998845
example_gene_180	0.986025997503607	0.8172787436723361
example_gene_181	0.933522289616069	0.5535065508996316
example_gene_182	0.990877622020112	0.8583983588001157
example_gene_183	0.66950488416079	0.10752128475193792
example_gene_184	0.963811834442609	0.681374805842685
example_gene_185	0.977480916337966	0.7578123413795814
example_gene_186	0.909482744537447	0.4751653183277205
example_gene_187	0.975131884641685	0.7433637765317016
example_gene_188	0.746178064146399	0.17622029666992747
example_gene_189	0.958465478295806	0.6554788143285544
example_gene_190	0.961191047408557	0.6684534901642878
example_gene_191	0.992216225508666	0.8712814318488054
example_gene_192	0.836731335109171	0.30579055281469425
example_gene_193	0.562323256732114	0.050031417891668976
example_gene_194	0.8434315396071	0.31832722043924244
example_gene_195	0.561306129479175	0.049642396734369085
example_gene_196	0.824290748278978	0.283791195714419
example_gene_197	0.998179904091221	0.9466408061953586
example_gene_198	0.948319089321602	0.6107422804057072
example_gene_199	0.942985824020809	0.5891453007233868
example_gene_200	0.990413730156125	0.8541202835911206
example_gene_201	0.577248747577981	0.05602832855134424
example_gene_202	0.990509230231078	0.854993805446185
example_gene_203	0.986112922323811	0.81795580669899
example_gene_204	0.498863060292215	0.029983498937414744
example_gene_205	0.998380730782767	0.9503059819891709
example_gene_206	0.778230605133044	0.2147619879677599
example_gene_207	0.993657232336886	0.886222564502143
example_gene_208	0.989996758975226	0.8503482390055115
example_gene_209	0.978446262239798	0.7639497159189821
example_gene_210	0.80698816076353	0.2557211579034143
example_gene_211	0.836763611214928	0.30584975233633727
example_gene_212	0.310788508955136	0.004185304844447112
example_gene_213	0.998320988196742	0.9491978021490252
example_gene_214	0.940330278575489	0.5788175712826173
example_gene_215	0.986576877910177	0.8216009186733388
example_gene_216	0.949012182559507	0.6136384417753574
example_gene_217	0.971057788907448	0.7197390682765795
example_gene_218	0.987740732529698	0.8309908670071817
example_gene_219	0.91065591154751	0.4786486284235953
example_gene_220	0.916033249228807	0.4950229001899293
example_gene_221	0.965217765660321	0.6885005289395018
example_gene_222	0.913530383606166	0.48731661902933987
example_gene_223	0.925996717386391	0.5272808017137315
example_gene_224	0.976539841766948	0.7519441836816947
example_gene_225	0.977036364735992	0.7550265421363292
example_gene_226	0.582096533259224	0.05809635240909859
example_gene_227	0.96654809570244	0.6953759817677595
example_gene_228	0.875717895750157	0.38651098962764857
example_gene_229	0.861244207411458	0.3542399838268316
example_gene_230	0.723404896800563	0.1526983283971013
example_gene_231	0.846440687991156	0.32412356462691094
example_gene_232	0.927788471812925	0.5333701412937806
example_gene_233	0.499803059148204	0.030223987732578714
example_gene_234	0.996411967183816	0.9194015632006312
example_gene_235	0.885023498759611	0.40892000706930925
example_gene_236	0.931944349858906	0.5478628281514611
example_gene_237	0.992443392183497	0.8735561099114406
example_gene_238	0.894689849242382	0.4337376093734412
example_gene_239	0.943756478194696	0.5921936956692652
example_gene_240	0.904318167389391	0.4601907169347703
example_gene_241	0.940998636927196	0.5813916268423902
example_gene_242	0.988280734551703	0.8354764363847539
example_gene_243	0.418828085180619	0.014369478611597689
example_gene_244	0.869424845327975	0.3721124591203575
example_gene_245	0.1539614498198	0.0002421527775139844
example_gene_246	0.924158798166195	0.5211298388839934
example_gene_247	0.842705934751644	0.3169451673266974
example_gene_248	0.989719673400926	0.8478780304231229
example_gene_249	0.998048276968019	0.9443249418078848
example_gene_250	0.891843604291422	0.42625753720216514
example_gene_251	0.811498008421672	0.2627707941646508
example_gene_252	0.982372313060252	0.7902997721698827
example_gene_253	0.986771139803015	0.8231432173121945
example_gene_254	0.798330455600624	0.2426844447006586
example_gene_255	0.939363692085755	0.5751242641537637
example_gene_256	0.981729547113358	0.7858182999988652
example_gene_257	0.986055164806828	0.8175057266108564
example_gene_258	0.963686319504446	0.6807454338015488
example_gene_259	0.952316330131861	0.6277499640485311
example_gene_260	0.962713442765549	0.6759037142864348
example_gene_261	0.993015140787816	0.8794093750974479
example_gene_262	0.689120322690954	0.12242064749166073
example_gene_263	0.892747193377346	0.42861616007484016
example_gene_264	0.952814502911513	0.6299229839330465
example_gene_265	0.935751767042853	0.561619367813291
example_gene_266	0.988794937569346	0.8398300315629692
example_gene_267	0.970252284164954	0.7152594564438353
example_gene_268	0.963521722414192	0.6799217419744448
example_gene_269	0.899154346648584	0.4457764819801824
example_gene_270	0.995714477074935	0.9102381395753762
example_gene_271	0.733146926066092	0.16240056213058507
example_gene_272	0.85832911441102	0.3480901370435929
example_gene_273	0.960697171207823	0.6660686020075048
example_gene_274	0.960087964580233	0.6631477918553832
example_gene_275	0.807897538443715	0.2571280929196728
example_gene_276	0.469692299425169	0.02323869162787805
example_gene_277	0.975723533990052	0.7469412786260108
